categary_name,ch_id,ch_title,commentCount,country,dislikeCount,favoriteCount,likeCount,publised_date,v_id,v_title,viewCount
Film & Animation,UCoY_p16GEbOQPgES1-wXpYg,ETV Dhee,2106,IN,2754,0,21711,2019-01-30T18:46:53.000Z,grFJtQREe9c,Dhee Jodi | 30th January 2019   | Full Episode | ETV Telugu,3416573
Film & Animation,UCGqvJPRcv7aVFun-eTsatcA,FoxStarHindi,60765,IN,78879,0,905740,2019-01-21T08:58:46.000Z,fo9EhcwQXcM,Total Dhamaal | Official Trailer | Ajay | Anil | Madhuri | Indra Kumar | Feb. 22nd,44830801
Film & Animation,UCpEhnqL0y41EpW2TvWAHD7Q,SET India,3586,IN,5804,0,59166,2019-01-27T17:58:42.000Z,Ltj06Kz3gj4,"दी कपिल शर्मा शो | एपिसोड 10 | बाप बेटी की यारी जाने दुनिया सारी | सीज़न 2 | 27 जनवरी, 2019",5089228
Film & Animation,UCVmEbEQUGXHVm-O9pqa3JWg,Harsh Beniwal,40273,IN,24918,0,681122,2019-01-27T13:30:30.000Z,P7_XgHhpBXY,Tummy Boy | Gully Boy Spoof | Harsh Beniwal,6209083
Film & Animation,UCqwUrj10mAEsqezcItqvwEw,BB Ki Vines,72538,IN,20701,0,1134652,2019-01-22T15:36:14.000Z,OIr31AZtVSk,BB Ki Vines- | Itni Thand English Jhand |,14818770
Film & Animation,UCNJcSUSzUeFm8W9P7UUlSeQ,The Viral Fever,13825,IN,6233,0,289684,2019-01-29T07:02:39.000Z,OmeFGPnT3Qs,Apna Mahi Ayega - A tribute to Dhoni,3766690
Film & Animation,UCnoqvTW4YZExfDeq7_Wmd-w,ETV Jabardasth,4126,IN,7063,0,56805,2019-01-24T18:24:26.000Z,pMXq-W4s8ss,"Hyper Aadi, Raising Raju Performance | Jabardasth | 24th January 2019 | ETV Telugu",6608367
Film & Animation,UCX_uPA_dGf7wXjuMEaSKLJA,Aditya Movies - Telugu & Hindi,3335,IN,6527,0,86456,2019-01-24T19:30:02.000Z,VP7dUZdfo-I,"Aakhari Baazi 2019 New Released Full Hindi Dubbed Movie || Nara Rohit, Aadhi, Sundeep Kishan",9595610
Film & Animation,UCNyeSfUfffmJXwA2_tmNG9A,The Screen Patti,8418,IN,5285,0,142669,2019-01-28T12:05:19.000Z,0HOEoieMauo,When you fall in Love | TSP's Hum Tum,2585886
Film & Animation,UCs56ffejFhWlCvlvRIdpb9Q,Viacom18 Motion Pictures,9073,IN,4101,0,174433,2019-01-25T13:37:19.000Z,dY3zdmJAB6E,"Romeo Akbar Walter | Official Teaser | John Abraham, Jackie Shroff, Mouni Roy | Releasing 12th April",11584594
